[2022-12-09 11:32:47.586089] Couldn't open , trying /root/.config/srsran/ue.conf
[2022-12-09 11:32:47.594847] Reading configuration file /root/.config/srsran/ue.conf...
[2022-12-09 11:32:47.644050] WARNING: cpu0 scaling governor is not set to performance mode. Realtime processing could be compromised. Consider setting it to performance mode before running the application.
[2022-12-09 11:32:47.645555] 
[2022-12-09 11:32:47.645776] Built in Release mode using commit 17429def4 on branch master.
[2022-12-09 11:32:47.645954] 
[2022-12-09 11:32:47.755051] Opening 2 channels in RF device=default with args=type=zmq
[2022-12-09 11:32:47.755120] Available RF device list: UHD  zmq 
[2022-12-09 11:32:47.755180] Trying to open RF device 'UHD'
[2022-12-09 11:32:47.755386] Opening USRP channels=2, args: type=zmq,master_clock_rate=23.04e6
[2022-12-09 11:32:49.206742] RF device 'UHD' successfully opened
[2022-12-09 11:32:49.767479] Waiting PHY to initialize ... done!
[2022-12-09 11:32:49.767739] Attaching UE...
[2022-12-09 11:32:49.767782] Enter t to stop trace.
[2022-12-09 11:32:49.767810] Closing stdin thread.
[2022-12-09 11:33:54.767955] --- disconnected ---
[2022-12-09 11:33:55.768324] --- disconnected ---
[2022-12-09 11:33:56.767796] --- disconnected ---
[2022-12-09 11:33:57.767980] --- disconnected ---
[2022-12-09 11:33:58.767893] --- disconnected ---
[2022-12-09 11:33:59.767875] --- disconnected ---
[2022-12-09 11:34:00.767826] --- disconnected ---
[2022-12-09 11:34:01.767846] --- disconnected ---
[2022-12-09 11:34:02.767899] --- disconnected ---
[2022-12-09 11:34:03.767861] --- disconnected ---
[2022-12-09 11:34:04.767988] --- disconnected ---
[2022-12-09 11:34:05.768067] --- disconnected ---
[2022-12-09 11:34:06.768080] --- disconnected ---
[2022-12-09 11:34:07.767978] --- disconnected ---
[2022-12-09 11:34:08.768012] --- disconnected ---
[2022-12-09 11:34:09.768054] --- disconnected ---
[2022-12-09 11:34:10.767781] --- disconnected ---
[2022-12-09 11:34:11.768060] --- disconnected ---
[2022-12-09 11:34:12.767844] --- disconnected ---
[2022-12-09 11:34:13.767996] --- disconnected ---
[2022-12-09 11:34:14.767921] --- disconnected ---
[2022-12-09 11:34:15.767921] --- disconnected ---
[2022-12-09 11:34:16.767974] --- disconnected ---
[2022-12-09 11:34:17.767854] --- disconnected ---
[2022-12-09 11:34:18.768258] --- disconnected ---
[2022-12-09 11:34:19.767948] --- disconnected ---
[2022-12-09 11:34:20.767966] --- disconnected ---
[2022-12-09 11:34:21.768039] --- disconnected ---
[2022-12-09 11:34:22.767979] --- disconnected ---
[2022-12-09 11:34:23.768086] --- disconnected ---
[2022-12-09 11:34:24.767947] --- disconnected ---
[2022-12-09 11:34:25.767937] --- disconnected ---
[2022-12-09 11:34:26.768163] --- disconnected ---
[2022-12-09 11:34:27.768059] --- disconnected ---
[2022-12-09 11:34:28.767952] --- disconnected ---
[2022-12-09 11:34:29.768003] --- disconnected ---
[2022-12-09 11:34:30.768052] --- disconnected ---
[2022-12-09 11:34:31.767878] --- disconnected ---
[2022-12-09 11:34:32.767939] --- disconnected ---
[2022-12-09 11:34:33.767919] --- disconnected ---
[2022-12-09 11:34:34.768086] --- disconnected ---
[2022-12-09 11:34:35.767877] --- disconnected ---
[2022-12-09 11:34:36.768109] --- disconnected ---
[2022-12-09 11:34:37.767777] --- disconnected ---
[2022-12-09 11:34:38.768025] --- disconnected ---
[2022-12-09 11:34:39.767949] --- disconnected ---
[2022-12-09 11:34:40.767816] --- disconnected ---
[2022-12-09 11:34:41.767949] --- disconnected ---
[2022-12-09 11:34:42.767953] --- disconnected ---
[2022-12-09 11:34:43.768447] --- disconnected ---
[2022-12-09 11:34:44.767836] --- disconnected ---
[2022-12-09 11:34:45.768147] --- disconnected ---
[2022-12-09 11:34:46.768069] --- disconnected ---
[2022-12-09 11:34:47.768007] --- disconnected ---
[2022-12-09 11:34:48.767793] --- disconnected ---
[2022-12-09 11:34:49.767885] --- disconnected ---
[2022-12-09 11:34:50.767890] --- disconnected ---
[2022-12-09 11:34:51.767949] --- disconnected ---
[2022-12-09 11:34:52.767907] --- disconnected ---
[2022-12-09 11:34:53.767860] --- disconnected ---
[2022-12-09 11:34:54.767911] --- disconnected ---
[2022-12-09 11:34:55.767888] --- disconnected ---
[2022-12-09 11:34:56.768070] --- disconnected ---
[2022-12-09 11:34:57.767957] --- disconnected ---
[2022-12-09 11:34:58.767874] --- disconnected ---
[2022-12-09 11:34:59.767893] --- disconnected ---
[2022-12-09 11:35:00.768251] --- disconnected ---
[2022-12-09 11:35:01.767890] --- disconnected ---
[2022-12-09 11:35:02.767888] --- disconnected ---
[2022-12-09 11:35:03.767869] --- disconnected ---
[2022-12-09 11:35:04.767771] --- disconnected ---
[2022-12-09 11:35:05.767966] --- disconnected ---
[2022-12-09 11:35:06.769049] --- disconnected ---
[2022-12-09 11:35:07.768401] --- disconnected ---
[2022-12-09 11:35:08.768090] --- disconnected ---
[2022-12-09 11:35:09.768302] --- disconnected ---
[2022-12-09 11:35:10.767788] --- disconnected ---
[2022-12-09 11:35:11.768092] --- disconnected ---
[2022-12-09 11:35:12.767817] --- disconnected ---
[2022-12-09 11:35:13.767855] --- disconnected ---
[2022-12-09 11:35:14.767936] --- disconnected ---
[2022-12-09 11:35:15.767843] --- disconnected ---
[2022-12-09 11:35:16.768761] --- disconnected ---
[2022-12-09 11:35:17.767941] --- disconnected ---
[2022-12-09 11:35:18.767839] --- disconnected ---
[2022-12-09 11:35:19.767782] --- disconnected ---
[2022-12-09 11:35:20.768524] --- disconnected ---
[2022-12-09 11:35:21.767935] --- disconnected ---
[2022-12-09 11:35:22.767840] --- disconnected ---
[2022-12-09 11:35:23.768020] --- disconnected ---
[2022-12-09 11:35:24.768066] --- disconnected ---
[2022-12-09 11:35:25.768068] --- disconnected ---
[2022-12-09 11:35:26.768041] --- disconnected ---
[2022-12-09 11:35:27.768014] --- disconnected ---
[2022-12-09 11:35:28.767792] --- disconnected ---
[2022-12-09 11:35:29.767813] --- disconnected ---
[2022-12-09 11:35:30.768247] --- disconnected ---
[2022-12-09 11:35:31.768688] --- disconnected ---
[2022-12-09 11:35:32.767992] --- disconnected ---
[2022-12-09 11:35:33.767994] --- disconnected ---
[2022-12-09 11:35:34.768057] --- disconnected ---
[2022-12-09 11:35:35.767805] --- disconnected ---
